Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
2,243,1,18,0,0,125,13.0,47,2,0
3,467,0,29,3,1,488,25.4667,47,2,0
1,339,0,35,1,0,457,83.475,80,2,1
3,460,1,29,0,0,322,7.775,47,2,0
2,754,1,59,0,0,128,13.5,47,2,0
3,43,0,5,4,2,329,31.3875,47,2,1
2,479,1,24,0,0,554,10.5,47,2,0
3,329,0,29,0,0,677,7.55,47,2,0
2,370,1,44,1,0,198,26.0,47,2,0
2,172,0,8,0,2,556,26.25,47,2,1
2,648,1,19,0,0,231,10.5,47,2,0
2,383,1,33,0,0,636,12.275,47,2,0
3,883,0,29,1,0,193,14.4542,47,0,0
3,567,0,29,1,0,444,15.5,47,1,1
2,169,1,29,0,0,674,10.5,47,2,0
3,500,1,22,0,0,658,7.125,47,2,0
3,47,1,30,0,0,213,7.225,47,0,0
1,539,1,44,2,0,92,90.0,78,1,0
3,481,0,25,0,0,325,7.775,47,2,0
2,322,0,24,0,2,166,14.5,47,2,1
1,78,1,37,1,1,54,52.5542,102,2,1
2,147,1,54,1,0,144,26.0,47,2,0
3,673,1,29,0,0,422,7.25,47,2,0
3,790,0,29,1,1,316,10.4625,145,2,0
1,782,1,62,0,0,31,26.55,83,2,0
3,487,1,30,1,0,536,16.1,47,2,0
3,702,0,41,0,2,458,20.2125,47,2,0
3,819,0,29,0,2,185,15.2458,47,0,1
1,808,0,29,0,0,589,79.2,47,0,1
1,156,0,30,0,0,0,86.5,40,2,1
1,844,0,35,0,0,608,512.3292,47,0,1
2,636,0,50,0,1,115,26.0,47,2,1
3,771,1,29,0,0,482,7.75,47,1,0
3,42,1,3,4,2,329,31.3875,47,2,1
1,799,1,52,1,1,1,79.65,134,2,0
1,340,1,40,0,0,16,0.0,46,2,0
3,356,0,29,0,0,478,7.75,47,1,0
2,674,1,36,0,0,546,10.5,47,2,0
3,631,1,16,4,1,249,39.6875,47,2,0
3,652,1,25,1,0,334,7.775,47,2,1
1,305,0,58,0,1,588,153.4625,57,2,1
1,91,0,35,0,0,613,135.6333,89,2,1
1,125,1,29,0,0,47,31.0,47,2,0
3,817,1,25,0,0,574,0.0,47,2,1
2,530,0,41,0,1,162,19.5,47,2,1
1,577,1,37,0,1,594,29.7,54,0,0
3,350,0,29,0,0,465,7.75,47,1,1
1,33,0,63,1,0,71,77.9583,113,2,1
3,482,0,45,0,0,326,7.75,47,2,0
2,634,1,29,0,0,135,0.0,47,2,0
3,681,1,7,4,1,480,29.125,47,1,0
3,2,0,35,1,1,551,20.25,47,2,1
3,227,1,65,0,0,290,7.75,47,1,0
3,614,1,28,0,0,340,7.8542,47,2,0
3,887,1,16,0,0,310,9.5,47,2,0
3,221,1,19,0,0,533,8.05,47,2,1
1,770,1,29,0,0,24,26.0,3,2,0
3,779,1,33,0,0,378,8.6625,47,0,0
3,886,1,30,0,0,308,9.5,47,2,1
3,570,1,22,0,0,353,7.8958,47,2,0
2,378,1,42,0,0,134,13.0,47,2,1
3,177,0,22,0,0,464,7.75,47,1,1
1,65,0,26,0,0,91,78.85,47,2,1
1,90,0,19,1,0,64,91.0792,31,0,1
2,477,1,36,0,0,635,12.875,90,0,0
3,315,0,24,0,0,376,8.85,47,2,0
3,541,1,24,0,0,374,7.8958,47,2,0
1,478,1,29,0,0,606,27.7208,47,0,0
3,324,1,23,0,0,212,7.2292,47,0,0
1,17,0,2,1,2,37,151.55,62,2,0
1,714,1,29,0,0,98,30.5,51,2,1
1,71,0,50,0,1,585,247.5208,36,0,1
3,431,0,29,0,0,513,7.75,47,1,1
3,518,1,29,2,0,441,23.25,47,1,1
3,411,1,19,0,0,574,0.0,47,2,0
2,428,0,29,0,0,109,12.35,116,1,1
3,868,1,29,0,0,527,8.05,47,2,0
1,16,1,0,1,2,37,151.55,62,2,1
1,248,0,29,0,0,83,110.8833,47,0,1
1,647,0,17,1,0,611,108.9,74,0,1
2,3,1,30,1,0,575,24.0,47,0,0
1,263,0,30,0,0,584,56.9292,125,0,1
1,348,0,24,0,0,59,83.1583,72,0,1
1,710,0,18,2,2,602,262.375,35,0,1
2,449,0,26,1,1,167,26.0,47,2,0
3,355,1,28,0,0,382,7.8958,47,2,0
2,342,1,43,1,1,571,26.25,47,2,0
3,590,0,26,0,0,343,7.8542,47,2,1
2,423,0,24,1,0,150,26.0,47,2,1
2,555,1,54,0,0,232,14.0,47,2,0
1,859,0,31,0,2,453,164.8667,76,2,1
1,775,0,40,1,1,81,134.5,124,0,1
3,211,1,22,0,0,524,7.25,47,2,0
3,200,1,27,0,0,365,7.8958,47,2,0
2,762,0,30,0,0,124,12.35,47,1,1
2,128,0,22,1,1,158,29.0,47,2,1
3,722,1,29,8,2,568,69.55,47,2,0
1,877,0,36,0,0,613,135.6333,65,0,1
3,598,1,61,0,0,299,6.2375,47,2,0
2,60,0,36,0,0,229,13.0,90,2,1
3,295,0,31,1,1,423,20.525,47,2,1
1,363,0,16,0,1,7,57.9792,17,0,1
3,517,0,29,2,0,441,23.25,47,1,1
1,637,1,45,0,0,20,28.5,56,2,0
1,304,1,38,0,1,588,153.4625,85,2,0
3,838,1,16,2,0,302,18.0,47,2,0
1,265,0,29,1,0,605,133.65,47,2,1
3,210,1,29,0,0,370,7.8958,47,2,0
1,642,1,29,1,0,36,66.6,61,2,0
1,117,0,41,0,0,81,134.5,127,0,1
3,192,1,45,0,0,510,8.05,47,2,1
1,93,1,45,0,0,39,35.5,146,2,0
2,578,1,2,1,1,113,26.0,141,2,1
1,258,0,24,3,2,95,263.0,63,2,1
2,170,1,28,0,0,159,13.0,47,2,0
2,733,1,25,0,0,149,13.0,47,2,0
2,262,1,36,0,0,112,13.0,47,2,0
2,111,0,24,0,0,157,13.0,142,2,1
2,768,0,40,0,0,257,13.0,47,2,1
3,207,0,29,1,0,483,16.1,47,2,1
3,183,1,3,1,1,562,15.9,47,2,1
3,215,1,42,0,0,262,8.6625,47,2,0
3,608,1,23,0,0,503,9.225,47,2,0
1,870,1,29,0,0,30,35.0,59,2,0
3,237,1,15,1,1,214,7.2292,47,0,0
3,37,1,25,1,0,377,17.8,47,2,0
3,879,1,29,0,0,182,7.225,47,0,0
3,835,1,28,0,0,314,9.5,47,2,0
1,104,0,22,0,1,28,55.0,123,2,1
2,270,0,38,0,0,131,13.0,47,2,0
3,522,0,29,0,0,279,7.8792,47,1,1
3,545,0,29,0,0,285,7.8792,47,1,1
3,759,1,40,1,4,337,27.9,47,2,0
2,888,1,29,1,0,633,27.7208,47,0,0
3,64,0,45,0,1,211,14.4542,47,0,0
3,40,1,35,0,0,641,7.05,47,2,0
3,599,1,29,1,0,459,15.5,47,1,0
3,5,1,30,0,0,544,7.25,47,2,0
1,845,0,60,1,0,4,75.25,104,0,1
3,562,0,29,0,0,175,7.2292,47,0,1
3,400,0,29,0,0,78,7.75,47,1,1
1,48,0,24,0,0,581,69.3,24,0,1
1,328,1,25,1,0,58,55.4417,131,0,1
3,863,1,18,1,0,244,6.4958,47,2,0
3,75,1,19,0,0,273,8.05,47,2,0
1,690,1,22,0,0,613,135.6333,47,0,0
3,625,0,3,3,1,395,21.075,47,2,0
1,536,0,29,1,0,600,82.1708,47,0,1
3,454,0,22,0,0,545,7.25,47,2,1
1,862,1,27,0,2,27,211.5,79,0,0
3,85,1,20,0,0,183,4.0125,47,0,0
3,314,1,19,0,0,324,7.775,47,2,0
1,86,0,42,0,0,610,227.525,47,0,1
3,572,0,1,0,2,187,15.7417,47,0,1
3,811,1,32,0,0,665,7.925,47,2,0
1,373,0,35,1,0,43,52.0,47,2,1
3,665,1,29,0,0,371,7.8958,47,2,0
2,205,1,18,0,0,621,73.5,47,2,0
3,298,1,1,5,2,566,46.9,47,2,0
2,118,0,36,0,0,220,13.0,47,2,1
3,715,1,29,0,0,447,7.7292,47,1,0
2,468,0,17,0,0,625,12.0,47,0,1
1,144,1,36,1,2,33,120.0,47,2,1
3,393,1,21,0,0,401,7.7958,47,2,1
3,313,1,28,2,0,246,7.925,47,2,0
1,583,0,23,1,0,416,113.275,103,0,1
3,728,0,24,0,2,616,16.7,145,2,1
3,404,1,22,0,0,410,7.7958,47,2,0
3,613,0,31,0,0,414,7.8542,47,2,0
2,524,1,46,0,0,226,26.0,47,2,0
2,623,1,23,0,0,146,10.5,47,2,0
2,821,0,28,0,0,140,12.65,47,2,1
3,592,1,39,0,0,663,7.925,47,2,1
3,6,1,26,0,0,292,8.05,47,2,0
3,418,0,21,1,0,492,9.825,47,2,0
3,318,1,28,1,0,668,15.85,47,2,0
3,616,0,20,0,0,267,8.6625,47,2,0
2,274,1,34,1,0,230,21.0,47,2,0
3,861,1,51,0,0,321,7.75,47,2,0
2,687,1,3,1,1,237,18.75,47,2,1
3,88,1,21,0,0,255,7.775,47,2,0
3,465,0,29,3,1,488,25.4667,47,2,0
3,732,1,29,0,0,367,7.8958,47,2,0
3,343,1,29,0,0,487,6.8583,47,1,0
1,540,0,33,1,0,92,90.0,78,1,1
2,191,1,29,0,0,135,0.0,47,2,0
3,792,1,44,0,0,655,7.925,47,2,1
3,528,0,29,0,0,295,8.05,47,2,0
2,226,0,34,1,1,224,32.5,47,2,1
2,742,0,18,0,2,168,13.0,47,2,1
2,513,1,30,0,0,225,13.0,47,2,0
3,829,0,10,0,2,307,24.15,47,2,0
3,281,1,29,0,0,392,7.8958,47,0,0
3,155,1,21,0,0,534,7.7333,47,1,0
3,884,1,29,0,0,259,7.875,47,2,0
3,198,0,28,1,1,331,14.4,47,2,0
3,701,1,18,1,1,458,20.2125,47,2,0
3,872,1,29,0,0,521,7.25,47,2,0
2,162,0,28,1,0,100,26.0,47,2,1
2,662,0,19,0,0,170,26.0,47,2,1
3,249,1,29,0,0,437,7.75,47,1,0
3,663,1,32,0,0,644,8.05,115,2,1
1,92,1,28,0,0,3,26.55,71,2,1
3,810,0,29,1,0,476,16.1,47,2,1
2,491,0,42,1,0,627,26.0,47,2,1
3,420,1,17,0,0,657,7.125,47,2,0
1,744,1,50,1,0,72,55.9,128,2,0
1,143,0,14,1,2,33,120.0,47,2,1
3,253,0,21,2,2,676,34.375,47,2,0
2,688,0,24,2,3,237,18.75,47,2,1
1,261,1,64,1,4,95,263.0,63,2,0
2,447,1,31,0,0,547,10.5,47,2,0
2,344,0,45,1,1,571,26.25,47,2,1
3,323,1,20,0,0,305,9.5,47,2,0
3,659,1,25,1,0,328,7.775,47,2,0
2,679,0,28,0,0,116,13.0,47,2,1
3,402,1,29,0,0,499,8.1125,47,2,1
1,216,1,4,0,2,289,81.8583,10,2,1
2,529,0,13,0,1,162,19.5,47,2,1
1,735,1,34,0,0,45,26.55,47,2,1
3,55,0,5,2,1,194,19.2583,47,0,1
1,661,1,52,0,0,40,30.5,50,2,1
2,854,1,36,1,2,561,27.75,47,2,0
3,316,1,29,1,0,497,19.9667,47,2,0
1,257,1,30,0,0,22,27.75,53,0,0
1,290,1,49,1,0,84,89.1042,86,0,1
3,644,1,29,0,0,528,8.05,47,2,0
3,392,1,29,0,0,379,7.8958,47,0,1
1,537,1,65,0,0,73,26.55,126,2,0
1,436,0,29,1,0,86,51.8625,97,2,1
2,815,0,50,0,0,572,10.5,47,2,1
3,603,1,29,0,0,468,7.75,47,1,0
1,21,1,48,0,0,96,26.55,117,2,1
3,557,1,34,0,0,429,8.05,47,2,0
1,280,1,47,0,0,6,38.5,133,2,0
2,538,1,48,0,0,121,13.0,47,2,0
3,502,1,29,0,0,539,8.05,47,2,0
3,296,1,38,0,0,639,7.05,47,2,0
2,132,1,29,0,0,135,0.0,47,2,0
1,766,1,56,0,0,44,26.55,47,2,0
3,731,1,29,0,0,421,7.725,47,1,0
3,54,0,0,2,1,194,19.2583,47,0,1
3,430,1,29,0,0,272,7.25,47,2,0
3,124,1,38,0,0,263,8.6625,47,2,0
2,855,0,33,1,2,561,27.75,47,2,1
2,401,0,23,0,0,628,13.7917,90,0,1
3,787,0,22,0,0,509,9.8375,47,2,0
1,164,1,29,0,0,2,52.0,1,2,0
2,676,1,34,1,0,252,21.0,47,2,0
3,107,1,29,1,0,315,7.0458,47,2,0
3,425,1,22,0,0,411,7.5208,47,2,0
3,365,0,2,0,1,251,12.2875,47,2,1
3,297,1,9,5,2,566,46.9,47,2,0
2,268,1,29,0,0,136,0.0,47,2,0
3,706,1,50,0,0,531,8.05,47,2,0
3,825,0,63,0,0,489,9.5875,47,2,1
1,89,1,25,1,0,64,91.0792,31,0,1
3,466,0,29,3,1,488,25.4667,47,2,0
1,381,0,35,1,0,93,90.0,87,2,1
1,435,1,58,0,0,61,29.7,25,0,0
3,774,1,30,0,0,517,8.05,47,2,0
3,182,1,9,1,1,562,15.9,47,2,1
3,317,1,29,1,0,498,19.9667,47,2,0
3,871,1,21,0,0,649,7.25,47,2,0
1,547,1,55,0,0,41,30.5,64,2,0
1,39,1,71,0,0,603,49.5042,47,0,0
3,781,1,21,0,0,518,8.05,47,2,0
3,880,1,29,0,0,176,14.4583,47,0,0
1,242,0,54,1,0,454,78.2667,96,0,1
3,738,1,29,0,0,564,15.1,47,2,0
1,18,0,25,1,2,37,151.55,62,2,0
3,796,1,24,0,0,402,7.7958,47,2,0
3,130,1,17,0,0,261,8.6625,47,2,0
3,133,0,21,0,0,433,7.75,47,1,0
3,607,0,29,0,0,276,7.6292,47,1,0
3,450,0,37,0,0,490,9.5875,47,2,0
1,501,0,16,0,0,0,86.5,42,2,1
1,646,1,18,1,0,611,108.9,74,0,0
2,670,0,33,0,2,180,26.0,47,2,1
1,106,1,29,0,0,10,26.55,47,2,1
3,610,1,28,0,0,542,22.525,47,2,0
3,455,1,26,0,0,80,56.4958,47,2,1
3,195,1,29,0,0,479,7.75,47,1,1
3,849,1,29,0,0,648,8.05,47,2,0
1,521,1,36,0,0,577,26.2875,121,2,1
1,705,0,54,1,0,599,59.4,47,0,1
3,168,1,24,0,0,356,7.4958,47,2,0
1,843,1,47,0,0,456,34.0208,106,2,0
2,472,0,34,0,0,560,10.5,142,2,1
3,709,1,29,0,0,469,24.15,47,1,0
2,35,0,36,1,0,110,26.0,47,2,1
3,641,1,32,0,0,381,7.8958,47,2,0
1,651,0,30,0,0,67,93.5,39,2,1
3,841,1,22,0,0,390,7.8958,47,2,0
3,448,1,29,0,0,173,7.225,47,0,0
1,364,0,44,0,1,7,57.9792,17,0,1
3,427,1,29,0,0,217,7.2292,47,0,0
3,244,1,40,0,0,446,7.75,47,1,0
2,689,0,50,0,0,673,10.5,47,2,1
1,245,1,29,0,0,583,221.7792,88,2,0
3,725,1,39,0,0,250,7.925,47,2,0
2,366,1,23,2,1,235,11.5,47,2,0
2,669,0,2,1,1,180,26.0,47,2,1
3,818,1,29,0,0,181,7.2292,47,0,0
3,236,1,17,1,1,210,7.2292,47,0,0
3,654,0,29,0,2,196,22.3583,47,0,1
3,123,0,30,0,0,260,8.6625,47,2,0
2,341,0,7,0,2,571,26.25,47,2,1
1,120,1,45,0,0,21,26.55,26,2,0
1,461,0,30,0,0,614,106.425,47,0,1
3,692,1,29,0,0,426,14.5,47,2,0
1,266,0,22,0,2,75,49.5,27,0,1
1,188,0,36,0,2,680,71.0,20,2,1
3,26,0,9,4,2,333,31.275,47,2,0
3,27,0,11,4,2,333,31.275,47,2,0
2,73,1,32,1,0,233,26.0,47,2,1
1,222,1,50,1,0,614,106.425,82,0,0
1,587,1,64,0,0,501,26.0,47,2,0
2,74,0,19,1,0,233,26.0,47,2,1
2,622,1,29,0,0,631,13.8625,47,0,1
3,294,1,33,1,1,423,20.525,47,2,0
2,203,1,8,1,1,558,36.75,47,2,1
1,804,1,17,0,2,83,110.8833,77,0,1
2,736,1,27,0,0,148,26.0,47,2,0
3,600,1,29,0,0,284,7.8292,47,1,0
3,463,1,22,0,0,171,7.225,47,0,1
3,609,0,22,0,0,335,7.775,47,2,1
1,874,1,62,0,0,52,26.55,47,2,0
1,228,0,48,1,0,57,39.6,2,0,1
1,693,1,29,0,0,610,227.525,47,0,0
1,800,0,39,1,1,1,79.65,134,2,1
3,885,0,36,1,0,300,17.4,47,2,1
3,558,1,29,0,0,471,7.75,47,1,0
3,751,1,40,0,0,389,7.8958,47,2,0
2,593,1,28,0,0,103,13.5,47,2,0
3,746,1,29,0,0,651,8.05,47,2,0
3,527,0,29,0,0,645,8.05,47,2,0
3,204,1,24,2,0,519,24.15,47,2,0
3,786,1,19,0,0,352,7.8958,47,2,0
3,627,0,29,0,4,395,21.075,47,2,0
3,217,1,29,0,0,207,7.2292,47,0,0
3,416,1,32,0,0,415,7.8542,47,2,1
2,336,1,62,0,0,624,10.5,47,2,1
